student_id,gender,grade_level,study_hours_per_day,attendance_pct,math,science,english,average,passed
1,Male,10,5.6,88.4,74.0,79.0,62.0,71.7,1
2,Female,10,2.9,99.1,66.0,61.0,53.0,60.0,1
3,Male,10,6.5,85.9,86.0,89.0,76.0,83.7,1
4,Male,10,6.9,91.4,80.0,77.0,78.0,78.3,1
5,Female,9,1.1,64.5,53.0,44.0,66.0,54.3,1
6,Male,10,2.4,84.5,57.0,64.0,71.0,64.0,1
7,Male,9,5.3,76.6,71.0,77.0,66.0,71.3,1
8,Male,9,4.4,72.8,73.0,70.0,52.0,65.0,1
9,Male,10,5.0,76.2,54.0,56.0,63.0,57.7,1
10,Male,11,3.3,81.7,52.0,68.0,64.0,61.3,1
11,Female,12,6.8,94.2,71.0,74.0,73.0,72.7,1
12,Male,10,6.6,71.7,59.0,78.0,65.0,67.3,1
13,Male,10,5.1,85.3,67.0,61.0,71.0,66.3,1
14,Female,12,7.3,80.2,89.0,84.0,69.0,80.7,1
15,Male,11,5.9,81.7,74.0,69.0,64.0,69.0,1
16,Female,12,3.3,95.0,67.0,56.0,67.0,63.3,1
17,Female,12,5.7,90.4,85.0,82.0,67.0,78.0,1
18,Female,12,3.1,98.4,76.0,68.0,67.0,70.3,1
19,Male,12,6.8,83.5,80.0,75.0,76.0,77.0,1
20,Male,10,4.9,78.0,81.0,81.0,55.0,72.3,1
21,Female,10,4.6,82.8,70.0,66.0,61.0,65.7,1
22,Male,10,3.6,87.4,59.0,66.0,78.0,67.7,1
23,Female,9,7.4,86.8,80.0,85.0,64.0,76.3,1
24,Male,11,4.7,74.2,56.0,63.0,44.0,54.3,1
25,Male,11,4.1,85.9,61.0,72.0,47.0,60.0,1
26,Female,12,4.3,87.3,66.0,65.0,66.0,65.7,1
27,Female,9,6.1,100.0,87.0,77.0,74.0,79.3,1
28,Female,10,5.7,100.0,92.0,90.0,71.0,84.3,1
29,Female,9,5.8,76.5,63.0,65.0,81.0,69.7,1
30,Male,12,5.9,82.1,79.0,56.0,43.0,59.3,1
31,Female,10,9.3,70.4,82.0,100.0,82.0,88.0,1
32,Female,9,4.2,79.1,71.0,87.0,80.0,79.3,1
33,Male,11,4.0,88.2,67.0,65.0,54.0,62.0,1
34,Male,12,3.4,97.1,52.0,52.0,61.0,55.0,1
35,Female,12,6.2,77.7,84.0,73.0,63.0,73.3,1
36,Male,9,7.3,78.5,77.0,78.0,65.0,73.3,1
37,Female,10,4.8,63.5,62.0,64.0,61.0,62.3,1
38,Male,9,3.3,83.4,55.0,55.0,77.0,62.3,1
39,Male,10,3.4,74.4,57.0,67.0,80.0,68.0,1
40,Male,11,6.3,79.7,81.0,80.0,67.0,76.0,1
41,Male,10,6.5,76.2,76.0,64.0,90.0,76.7,1
42,Female,9,6.1,84.1,80.0,82.0,71.0,77.7,1
43,Female,11,3.7,67.4,65.0,78.0,79.0,74.0,1
44,Female,9,5.5,70.3,82.0,72.0,66.0,73.3,1
45,Female,9,5.2,100.0,73.0,74.0,72.0,73.0,1
46,Male,9,5.4,72.1,60.0,69.0,71.0,66.7,1
